epoch,errors,cost
0,-1,221.25793159607872
1000,-1,221.25793159607838
2000,-1,221.25793159607852
3000,-1,221.25793159607883
4000,-1,221.25793159607778
5000,-1,221.25793159607827
6000,-1,221.2579315960788
7000,-1,221.25793159607872
8000,-1,221.2579315960789
9000,-1,221.2579315960788
